household_ID,Consumption
ID1169,52.68
ID1170,26.12
ID1171,110.28
ID1172,33.24
ID1173,24.16
ID1174,48.68
ID1175,226.76
ID1176,274.72
ID1177,243.84
ID1178,31.16
ID1179,30.52
ID1180,147.92
ID1181,68.36
ID1182,70.2
ID1183,237.52
ID1184,492.64
ID1185,39.6
ID1186,47.16
ID1187,67.68
ID1188,250.44
ID1189,214.92
ID1190,31.76
ID1191,215.52
ID1192,106.16
ID1193,185.76
ID1194,78.12
ID1195,NA
ID1196,217.6
ID1197,189.84
ID1198,50.88
ID1199,136.08
ID1200,92.52
ID1201,112.48
ID1202,100.76
ID1203,184.4
ID1204,69.52
ID1205,172.88
ID1206,68
ID1207,64.64
ID1208,297.04
ID1209,91.36
ID1210,55.44
ID1211,150.32
ID1212,93.64
ID1213,67.64
ID1214,422.32
ID1215,90.88
ID1216,NA
ID1217,106.96
ID1218,67.84
ID1219,78.24
ID1220,89.04
ID1221,NA
ID1222,64.24
ID1223,75.88
ID1224,158.04
ID1225,130.92
ID1226,12.24
ID1227,249.72
ID1228,177.84
ID1229,200.88
ID1230,136.08
ID1231,134.92
ID1232,108.56
ID1233,102.08
ID1234,94.76
ID1235,90.84
ID1236,199.12
ID1237,134.48
ID1238,112.28
ID1239,47.64
ID1240,147.28
ID1241,56.92
ID1242,7.08
ID1243,64
ID1244,229.72
ID1245,86.28
ID1246,136.76
ID1247,NA
ID1248,68.6
ID1249,142.2
ID1250,81.12
ID1251,253.36
ID1252,75.68
ID1253,125.84
ID1254,158.2
ID1255,NA
ID1256,151.6
ID1257,131.4
ID1258,115.92
ID1259,37.48
ID1260,0.32
ID1261,71.2
ID1262,429.48
ID1263,117.56
ID1264,64.28
ID1265,101.8
ID1266,51.84
ID1267,134.8
ID1268,59.32
ID1269,1.64
ID1270,86.28
ID1271,197.04
ID1272,578.68
ID1273,346.4
ID1274,156.32
ID1275,124.2
ID1276,87.16
ID1277,189.48
ID1278,78.36
ID1279,116.12
ID1280,45.52
ID1281,61.28
ID1282,301.76
ID1283,113.32
ID1284,763.36
ID1285,7
ID1286,63.12
ID1287,326
ID1288,163.24
ID1289,9.84
ID1290,238.4
ID1291,85.52
ID1292,219.76
ID1293,16.16
ID1294,17.2
ID1295,86.08
ID1296,93.64
ID1297,69.4
ID1298,120.28
ID1299,117.12
ID1300,102.56
ID1301,124.72
ID1302,105.68
ID1303,29.96
ID1304,148.4
ID1305,134.8
ID1306,44.52
ID1307,162.88
ID1308,46.64
ID1309,26.44
ID1310,85.88
ID1311,81.64
ID1312,73.36
ID1313,51.2
ID1314,163.16
ID1315,123.84
ID1316,110.8
ID1317,57.92
ID1318,25.44
ID1319,41.12
ID1320,69.88
ID1321,199.88
ID1322,170.72
ID1323,171.92
ID1324,NA
ID1325,74.08
ID1326,43.04
ID1327,124.88
ID1328,151.4
ID1329,190.48
ID1330,182.4
ID1331,41.32
ID1332,65.4
ID1333,176.32
ID1334,174.28
ID1335,425.72
ID1336,238.68
ID1337,105.88
ID1338,114.48
ID1339,81
ID1340,54.92
ID1341,15.96
ID1342,108
ID1343,112
ID1344,92.56
ID1345,284.08
ID1346,206.84
ID1347,76.56
ID1348,82.72
ID1349,9.04
ID1350,264.6
ID1351,143.2
ID1352,82.12
ID1353,101.8
ID1354,224.12
ID1355,124.48
ID1356,83.32
ID1357,177.8
ID1358,137.44
ID1359,82.64
ID1360,65.56
ID1361,91.32
ID1362,211.4
ID1363,92.16
ID1364,161.92
ID1365,42.44
ID1366,95.32
ID1367,96.92
ID1368,39.88
ID1369,136.8
ID1370,61.68
ID1371,87.24
ID1372,49
ID1373,55.72
ID1374,135.72
ID1375,NA
ID1376,13.48
ID1377,329.88
ID1378,207.8
ID1379,172.04
ID1380,37.4
ID1381,167.96
ID1382,156.6
ID1383,82.56
ID1384,153.6
ID1385,130.12
ID1386,82
ID1387,35.56
ID1388,211.28
ID1389,55.92
ID1390,24.84
ID1391,82.32
ID1392,201.92
ID1393,101.2
ID1394,135.92
ID1395,80.12
ID1396,127.4
ID1397,9
ID1398,84.64
ID1399,195.92
ID1400,508.68
ID1401,9.84
ID1402,87
ID1403,21.48
ID1404,97.44
ID1405,0
