household_ID,SumOfAppliances
ID0818,90.0
ID0819,245.25
ID0820,215.06
ID0821,6.5
ID0822,274.0
ID0823,245.92
ID0824,252.5
ID0825,180.66
ID0826,231.55
ID0827,183.5
ID0828,209.0
ID0829,158.58
ID0830,348.1
ID0831,172.0
ID0832,244.5
ID0833,226.33
ID0834,237.75
ID0835,39.0
ID0836,182.14
ID0837,203.33
ID0838,209.75
ID0839,206.5
ID0840,215.8
ID0841,569.1
ID0842,169.5
ID0843,216.79
ID0844,210.32
ID0845,189.66
ID0846,222.81
ID0847,184.5
ID0848,7.05
ID0849,423.75
ID0850,237.57
ID0851,194.0
ID0852,201.62
ID0853,205.91
ID0854,2.41
ID0855,173.65
ID0856,199.15
ID0857,286.25
ID0858,184.7
ID0859,176.83
ID0860,225.25
ID0861,8.25
ID0862,193.0
ID0863,168.5
ID0864,37.5
ID0865,201.58
ID0866,200.55
ID0867,95.0
ID0868,549.25
ID0869,46.25
ID0870,238.41
ID0871,171.91
ID0872,196.0
ID0873,157.91
ID0874,63.56
ID0875,178.9
ID0876,14.25
ID0877,206.25
ID0878,176.71
ID0879,190.25
ID0880,376.5
ID0881,38.0
ID0882,259.25
ID0883,75.0
ID0884,201.0
ID0885,38.5
ID0886,315.75
ID0887,191.5
ID0888,230.0
ID0889,204.18
ID0890,203.0
ID0891,73.0
ID0892,262.35
ID0893,227.16
ID0894,224.25
ID0895,263.25
ID0896,28.5
ID0897,498.75
ID0898,43.33
ID0899,279.2
ID0900,185.0
ID0901,3.0
ID0902,204.0
ID0903,0.0
ID0904,208.75
ID0905,183.0
ID0906,106.58
ID0907,225.3
ID0908,217.25
ID0909,201.5
ID0910,188.0
ID0911,197.0
ID0912,183.5
ID0913,182.0
ID0914,14.0
ID0915,1.0
ID0916,183.25
ID0917,206.5
ID0918,67.0
ID0919,175.25
ID0920,62.3
ID0921,149.0
ID0922,196.3
ID0923,342.31
ID0924,197.0
ID0925,180.25
ID0927,261.5
ID0928,6.5
ID0929,43.75
ID0930,87.75
ID0931,200.965
ID0932,171.83
ID0933,1.0
ID0934,207.0
ID0935,211.62
ID0936,209.89
ID0937,226.85
ID0938,202.31
ID0939,231.0
ID0940,231.55
ID0941,1.25
ID0942,199.0
ID0943,62.0
ID0944,15.5
ID0945,298.355
ID0946,219.0
ID0947,119.05
ID0948,104.0
ID0949,100.77
ID0950,2.0
ID0951,235.9
ID0952,236.02
ID0953,171.75
ID0954,135.0
ID0955,138.65
ID0956,270.58
