household_ID,NoOfHoursStay
ID0708,730.0
ID0709,390.0
ID0710,544.0
ID0711,320.0
ID0712,306.0
ID0713,595.0
ID0714,527.0
ID0715,854.0
ID0716,910.0
ID0717,924.0
ID0718,924.0
ID0719,638.0
ID0720,536.0
ID0721,756.0
ID0722,813.0
ID0723,332.0
ID0724,410.0
ID0725,962.0
ID0726,593.0
ID0727,466.0
ID0728,840.0
ID0729,288.0
ID0730,770.0
ID0731,294.0
ID0732,629.0
ID0733,917.0
ID0734,659.0
ID0735,504.0
ID0736,926.0
ID0737,448.0
ID0738,684.0
ID0739,620.0
ID0740,570.0
ID0741,1106.0
ID0742,560.0
ID0743,428.0
ID0744,498.0
ID0745,298.0
ID0746,641.0
ID0747,750.0
ID0748,434.0
ID0749,326.0
ID0750,436.0
ID0751,611.0
ID0752,770.0
ID0753,604.0
ID0754,401.0
ID0755,293.0
ID0756,895.0
ID0757,722.0
ID0758,308.0
ID0759,595.0
ID0760,252.0
ID0761,840.0
ID0762,280.0
ID0763,510.0
ID0764,504.0
ID0765,599.0
ID0766,336.0
ID0767,428.0
ID0768,336.0
ID0769,1230.0
ID0770,840.0
ID0771,646.0
ID0772,138.0
ID0773,420.0
ID0774,481.0
ID0775,607.0
ID0776,168.0
ID0777,432.0
ID0778,360.0
ID0779,423.5
ID0780,433.5
ID0781,1334.0
ID0782,406.0
ID0783,168.0
ID0784,300.0
ID0785,294.0
ID0786,537.0
ID0787,504.0
ID0788,852.0
ID0789,720.0
ID0790,168.0
ID0791,720.0
ID0792,921.0
ID0793,605.0
ID0794,500.0
ID0795,691.0
ID0796,920.0
ID0797,1008.0
ID0798,326.0
ID0799,519.0
ID0800,336.0
ID0801,168.0
ID0802,478.0
ID0803,447.0
ID0804,767.0
ID0805,662.0
ID0806,412.0
ID0807,288.0
ID0808,170.0
ID0809,168.0
ID0810,168.0
ID0811,832.0
ID0812,377.5
ID0813,701.0
ID0814,336.0
ID0815,712.0
ID0816,384.0
ID0817,520.0
ID0818,176.0
ID0819,720.0
ID0820,645.0
ID0821,336.0
ID0822,924.0
ID0823,572.0
ID0824,1000.0
ID0825,357.0
ID0826,451.0
ID0827,480.0
ID0828,779.0
ID0829,633.0
ID0830,849.0
ID0831,168.0
ID0832,336.0
ID0833,336.0
ID0834,824.0
ID0835,336.0
ID0836,391.75
ID0837,308.0
ID0838,406.0
ID0839,600.159
ID0840,802.0
ID0841,795.0
ID0842,333.0
ID0843,734.0
ID0844,308.0
ID0845,662.0
ID0846,892.7
ID0847,410.0
ID0848,406.0
ID0849,1752.0
ID0850,688.0
ID0851,526.0
ID0852,475.0
ID0853,821.75
ID0854,271.0
ID0855,210.0
ID0856,666.0
ID0857,720.0
ID0858,294.0
ID0859,875.0
ID0860,664.0
ID0861,924.0
ID0862,506.0
ID0863,588.0
ID0864,420.0
ID0865,352.0
ID0866,544.0
ID0867,436.0
ID0868,478.0
ID0869,197.0
ID0870,384.5
ID0871,539.0
ID0872,458.0
ID0873,345.0
ID0874,815.0
ID0875,63.0
ID0876,598.0
ID0877,811.0
ID0878,280.0
ID0879,480.0
ID0880,392.0
ID0881,934.0
ID0882,588.0
ID0883,620.0
ID0884,469.0
ID0885,436.0
ID0886,518.0
ID0887,345.0
ID0888,559.0
ID0889,542.0
ID0890,336.0
ID0891,21.0
ID0892,367.0
ID0893,660.0
ID0894,595.0
ID0895,820.0
ID0896,458.0
ID0897,750.0
ID0898,749.0
ID0899,1304.0
ID0900,113.0
ID0901,1080.0
ID0902,636.0
ID0903,28.0
ID0904,323.0
ID0905,610.0
ID0906,330.0
ID0907,908.0
ID0908,390.0
ID0909,210.0
ID0910,300.0
ID0911,733.0
ID0912,514.0
ID0913,264.0
ID0914,320.0
ID0915,760.0
ID0916,565.0
ID0917,774.0
ID0918,60.0
ID0919,1184.0
ID0920,204.0
ID0921,352.0
ID0922,448.0
ID0923,404.0
ID0924,466.0
